time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-12-12 09:30:00-05:00,MLTrader,4dc7349c70864d989f7c45f1f690bf6f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-12-12 09:30:00-05:00,MLTrader,4dc7349c70864d989f7c45f1f690bf6f,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.1099853515625,10,0.0
